haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-16
haskell-th-lift 0.8.2-10
haskell-th-lift-instances 0.1.19-5
haskell-these 1.1.1.1-115
haskell-time-compat 1.9.6.1-16
haskell-tls 1.5.6-3
haskell-transformers-compat 0.7.1-1
haskell-typed-process 0.2.8.0-5
haskell-unicode-collation 0.1.3.1-11
haskell-unicode-data 0.2.0-1
haskell-unicode-transforms 0.4.0-3
haskell-uniplate 1.6.13-90
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.15.0-2
haskell-utf8-string 1.0.2-69
haskell-uuid-types 1.0.5-36
haskell-vector 0.12.3.1-25
haskell-vector-algorithms 0.8.0.4-84
haskell-x509 1.7.5-179
haskell-x509-store 1.6.7-178
haskell-x509-system 1.6.6-246
haskell-x509-validation 1.6.11-178
haskell-xml 1.3.14-29
haskell-xml-conduit 1.9.1.1-64
haskell-xml-types 0.3.8-7
haskell-zip-archive 0.4.1-151
haskell-zlib 0.6.2.3-52
haveged 1.9.15-1
hdparm 9.62-1
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
http-parser 2.9.4-1
hugo 0.91.2-1
hunspell 1.7.0-3
hwdetect 2021.10-1
hwids 20210613-1
hwinfo 21.80-1
hwloc 2.7.0-1
hyphen 2.8.8-3
i3-gaps-rounded-git 4.16.1.r191.gb521c18c-1
iana-etc 20211203-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.19-1
imath 3.1.3-4
imlib2 1.7.5-1
inetutils 2.2-1
iniparser 4.1-4
inkscape 1.1.1-5
intel-ucode 20210608-1
intltool 0.51.0-6
inxi 3.3.11.1-1
iproute2 5.15.0-2
iptables 1:1.8.7-1
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
irssi 1.2.3-2
iso-codes 4.8.0-1
ispell 3.4.04-1
isync 1.4.4-1
iw 5.16-1
iwd 1.20-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
